Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
80,Exit long,2020-04-23 16:30,S2_LX_TP1,1721.185,5.9,9955.8842,199.11,2.00,241.09,2.42,-55.09,-0.55,2945.22,29.45
80,Entry long,2020-04-22 10:00,S2_LE,1687.438,5.9,9955.8842,199.11,2.00,241.09,2.42,-55.09,-0.55,2945.22,29.45
81,Exit long,2020-04-24 22:00,S2_SL,1714.808,5.7,9873.1467,-98.74,-1.00,23.82,0.24,-98.74,-1.00,2846.47,28.46
81,Entry long,2020-04-24 00:30,S2_LE,1732.131,5.7,9873.1467,-98.74,-1.00,23.82,0.24,-98.74,-1.00,2846.47,28.46
82,Exit long,2020-04-27 22:00,S2_SL,1711.086,5.7,9851.7147,-98.52,-1.00,3.19,0.03,-98.52,-1.00,2747.95,27.48
82,Entry long,2020-04-25 04:00,S2_LE,1728.371,5.7,9851.7147,-98.52,-1.00,3.19,0.03,-98.52,-1.00,2747.95,27.48
83,Exit long,2020-05-01 00:00,S2_SL,1688.449,5.8,9891.9348,-98.93,-1.00,95.32,0.96,-98.93,-1.00,2649.02,26.49
83,Entry long,2020-04-28 09:30,S2_LE,1705.506,5.8,9891.9348,-98.93,-1.00,95.32,0.96,-98.93,-1.00,2649.02,26.49
84,Exit long,2020-05-01 14:00,S2_SL,1671.025,5.9,9958.6454,-99.6,-1.00,14.41,0.14,-99.6,-1.00,2549.42,25.49
84,Entry long,2020-05-01 08:00,S2_LE,1687.906,5.9,9958.6454,-99.6,-1.00,14.41,0.14,-99.6,-1.00,2549.42,25.49
85,Exit long,2020-05-08 02:30,S2_LX_TP1,1716.67,5.9,9929.7649,198.59,2.00,234.11,2.36,-18.35,-0.18,2748.01,27.48
85,Entry long,2020-05-01 22:30,S2_LE,1683.011,5.9,9929.7649,198.59,2.00,234.11,2.36,-18.35,-0.18,2748.01,27.48
86,Exit long,2020-05-11 17:30,S2_SL,1698.319,5.8,9949.755,-99.5,-1.00,46.78,0.47,-99.5,-1.00,2648.51,26.49
86,Entry long,2020-05-08 12:00,S2_LE,1715.475,5.8,9949.755,-99.5,-1.00,46.78,0.47,-99.5,-1.00,2648.51,26.49
87,Exit long,2020-05-15 00:00,S2_LX_TP1,1733.199,5.8,9856.317,196.24,1.99,207.61,2.11,-20.1,-0.20,2844.74,28.45
87,Entry long,2020-05-12 15:00,S2_LE,1699.365,5.8,9856.317,196.24,1.99,207.61,2.11,-20.1,-0.20,2844.74,28.45
88,Exit long,2020-05-26 22:00,S2_SL,1715.511,5.7,9877.1937,-98.78,-1.00,185.02,1.87,-98.78,-1.00,2745.96,27.46
88,Entry long,2020-05-15 04:00,S2_LE,1732.841,5.7,9877.1937,-98.78,-1.00,185.02,1.87,-98.78,-1.00,2745.96,27.46
89,Exit long,2020-06-03 21:00,S2_SL,1703.027,5.8,9977.3398,-99.78,-1.00,147.08,1.47,-99.78,-1.00,2646.18,26.46
89,Entry long,2020-05-29 15:30,S2_LE,1720.231,5.8,9977.3398,-99.78,-1.00,147.08,1.47,-99.78,-1.00,2646.18,26.46
