Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
86,Exit long,2019-08-10 00:30,S1_SL,1498.02,6.6,9936.6234,-49.69,-0.50,1.26,0.01,-49.69,-0.50,1193.34,11.93
86,Entry long,2019-08-09 23:30,S1_LE,1505.549,6.6,9936.6234,-49.69,-0.50,1.26,0.01,-49.69,-0.50,1193.34,11.93
87,Exit long,2019-08-13 03:00,S1_LX_TP1,1510.248,6.6,9918.0576,49.58,0.50,113.94,1.15,-19.91,-0.20,1242.92,12.43
87,Entry long,2019-08-12 17:00,S1_LE,1502.736,6.6,9918.0576,49.58,0.50,113.94,1.15,-19.91,-0.20,1242.92,12.43
88,Exit long,2019-08-14 19:00,S1_LX_TP1,1509.52,6.6,9913.2726,49.56,0.50,61.97,0.63,-36.37,-0.37,1292.48,12.92
88,Entry long,2019-08-14 12:00,S1_LE,1502.011,6.6,9913.2726,49.56,0.50,61.97,0.63,-36.37,-0.37,1292.48,12.92
89,Exit long,2019-08-15 19:00,S1_SL,1513.011,6.5,9884.004,-49.43,-0.50,14.33,0.14,-49.43,-0.50,1243.05,12.43
89,Entry long,2019-08-15 18:30,S1_LE,1520.616,6.5,9884.004,-49.43,-0.50,14.33,0.14,-49.43,-0.50,1243.05,12.43
90,Exit long,2019-08-16 08:00,S1_LX_TP1,1526.042,6.5,9869.9315,49.34,0.50,56.61,0.57,-15.93,-0.16,1292.39,12.92
90,Entry long,2019-08-15 23:00,S1_LE,1518.451,6.5,9869.9315,49.34,0.50,56.61,0.57,-15.93,-0.16,1292.39,12.92
