time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,Fast EMA
2026-04-22T01:30:00+08:00,4700.022,4722.165,4696.36,4710.38,4762.012999999963,4822.282159429316,4701.743840570609,4762.012999999963,4822.282159429316,4701.743840570609,4710.687722729104
2026-04-22T02:00:00+08:00,4710.81,4714.762,4691.71,4696.143,4757.464899999962,4822.974291777763,4691.9555082221605,4757.464899999962,4822.974291777763,4691.9555082221605,4703.415361364552
2026-04-22T02:30:00+08:00,4696.192,4713.963,4695.47,4709.32,4753.637749999963,4820.981554206811,4686.293945793114,4753.637749999963,4820.981554206811,4686.293945793114,4706.367680682276
2026-04-22T03:00:00+08:00,4708.59,4715.41,4703.96,4713.37,4750.198149999962,4818.384925424677,4682.011374575247,4750.198149999962,4818.384925424677,4682.011374575247,4709.868840341138
2026-04-22T03:30:00+08:00,4713.7,4714.78,4667.68,4678.955,4744.978649999963,4818.025471787058,4671.931828212867,4744.978649999963,4818.025471787058,4671.931828212867,4694.411920170569
2026-04-22T04:00:00+08:00,4679.25,4711.31,4668.39,4705.452,4741.108349999962,4813.91922463847,4668.297475361454,4741.108349999962,4813.91922463847,4668.297475361454,4699.931960085285
2026-04-22T04:30:00+08:00,4705.712,4721.625,4704.64,4721.483,4737.697649999963,4807.409567620923,4667.985732379003,4737.697649999963,4807.409567620923,4667.985732379003,4710.707480042643
2026-04-22T06:00:00+08:00,4720.792,4729.43,4715.91,4719.042,4734.472749999963,4801.3117654253765,4667.633734574549,4734.472749999963,4801.3117654253765,4667.633734574549,4714.8747400213215
2026-04-22T06:30:00+08:00,4719.1,4720.076,4714.86,4719.415,4730.717299999962,4791.833230868688,4669.601369131236,4730.717299999962,4791.833230868688,4669.601369131236,4717.144870010661
2026-04-22T07:00:00+08:00,4719.31,4733.17,4717.48,4729.755,4728.166499999963,4784.807839239645,4671.525160760281,4728.166499999963,4784.807839239645,4671.525160760281,4723.44993500533
2026-04-22T07:30:00+08:00,4729.913,4740.66,4728.26,4737.795,4726.132249999963,4778.131678502617,4674.132821497309,4726.132249999963,4778.131678502617,4674.132821497309,4730.622467502665
2026-04-22T08:00:00+08:00,4737.932,4747.59,4737.67,4742.29,4724.522749999963,4772.254209171245,4676.791290828681,4724.522749999963,4772.254209171245,4676.791290828681,4736.456233751333
2026-04-22T08:30:00+08:00,4742.2,4747.2,4737.95,4739.58,4722.560499999963,4764.015147252623,4681.105852747303,4722.560499999963,4764.015147252623,4681.105852747303,4738.018116875666
2026-04-22T09:00:00+08:00,4739.765,4749.25,4735.2,4746.31,4721.174599999963,4757.14447548521,4685.204724514716,4721.174599999963,4757.14447548521,4685.204724514716,4742.164058437833
2026-04-22T09:30:00+08:00,4746.26,4755.73,4745.68,4752.07,4721.820099999963,4759.481426145354,4684.158773854571,4721.820099999963,4759.481426145354,4684.158773854571,4747.117029218916
2026-04-22T10:00:00+08:00,4752.112,4758.33,4749.728,4755.52,4722.475999999963,4761.961040182762,4682.990959817164,4722.475999999963,4761.961040182762,4682.990959817164,4751.318514609458
2026-04-22T10:30:00+08:00,4755.588,4758.97,4749.94,4755.614,4723.209199999963,4764.540613511889,4681.877786488037,4723.209199999963,4764.540613511889,4681.877786488037,4753.466257304729
2026-04-22T11:00:00+08:00,4755.66,4764.7,4752.19,4762.97,4725.316699999963,4770.100202608559,4680.533197391367,4725.316699999963,4770.100202608559,4680.533197391367,4758.218128652365
2026-04-22T11:30:00+08:00,4764.37,4766.32,4756.06,4757.16,4727.628699999963,4773.948532541615,4681.3088674583105,4727.628699999963,4773.948532541615,4681.3088674583105,4757.689064326182
2026-04-22T12:00:00+08:00,4757.12,4759.679,4754.01,4755.909,4730.426649999963,4776.480377067112,4684.372922932814,4730.426649999963,4776.480377067112,4684.372922932814,4756.799032163091
2026-04-22T12:30:00+08:00,4755.61,4759.61,4751.86,4754.433,4732.629299999963,4778.850793284913,4686.407806715013,4732.629299999963,4778.850793284913,4686.407806715013,4755.616016081545
2026-04-22T13:00:00+08:00,4754.58,4771.78,4751.74,4765.785,4736.111399999963,4781.2947645361055,4690.928035463821,4736.111399999963,4781.2947645361055,4690.928035463821,4760.700508040773
2026-04-22T13:30:00+08:00,4766.169,4772.13,4763.39,4767.42,4739.016399999963,4784.406599325518,4693.626200674408,4739.016399999963,4784.406599325518,4693.626200674408,4764.060254020386
2026-04-22T14:00:00+08:00,4767.41,4768,4758.38,4766.98,4741.6968999999635,4787.044169953126,4696.349630046801,4741.6968999999635,4787.044169953126,4696.349630046801,4765.520127010193
2026-04-22T14:30:00+08:00,4766.98,4768.49,4762.93,4767.55,4746.126649999964,4782.516916620985,4709.736383378942,4746.126649999964,4782.516916620985,4709.736383378942,4766.535063505096
2026-04-22T15:00:00+08:00,4767.535,4772.307,4762.24,4766.022,4749.155149999964,4781.33967757977,4716.970622420158,4749.155149999964,4781.33967757977,4716.970622420158,4766.278531752549
2026-04-22T15:30:00+08:00,4765.875,4766.68,4759.345,4760.465,4751.104249999964,4780.988707775988,4721.21979222394,4751.104249999964,4780.988707775988,4721.21979222394,4763.371765876274
2026-04-22T16:00:00+08:00,4760.502,4762.32,4753.88,4754.309,4752.867599999963,4778.888739737417,4726.846460262509,4752.867599999963,4778.888739737417,4726.846460262509,4758.840382938137
2026-04-22T16:30:00+08:00,4753.86,4758.46,4751.51,4756.73,4754.733349999964,4775.765324665533,4733.701375334395,4754.733349999964,4775.765324665533,4733.701375334395,4757.785191469068
2026-04-22T17:00:00+08:00,4756.98,4761.969,4756.04,4756.34,4756.062599999964,4773.698047462407,4738.427152537521,4756.062599999964,4773.698047462407,4738.427152537521,4757.062595734535
2026-04-22T17:30:00+08:00,4756.45,4762.5,4752.08,4755.109,4756.928299999963,4772.467028709409,4741.389571290518,4756.928299999963,4772.467028709409,4741.389571290518,4756.0857978672675
2026-04-22T18:00:00+08:00,4755.07,4757.7,4745.4,4754.61,4757.544299999963,4771.620990076195,4743.467609923731,4757.544299999963,4771.620990076195,4743.467609923731,4755.347898933634
2026-04-22T18:30:00+08:00,4754.59,4760.325,4753.368,4759.189,4758.524749999964,4769.93990954282,4747.109590457108,4758.524749999964,4769.93990954282,4747.109590457108,4757.268449466817
2026-04-22T19:00:00+08:00,4759.09,4760.88,4755.99,4757.242,4759.071349999964,4769.0513223029175,4749.09137769701,4759.071349999964,4769.0513223029175,4749.09137769701,4757.255224733409
2026-04-22T19:30:00+08:00,4757.24,4759.94,4747.57,4750.27,4758.981349999964,4769.240805109862,4748.721894890065,4758.981349999964,4769.240805109862,4748.721894890065,4753.762612366705
2026-04-22T20:00:00+08:00,4750.31,4760.092,4746.925,4753.082,4758.8594499999635,4769.336150723512,4748.382749276415,4758.8594499999635,4769.336150723512,4748.382749276415,4753.422306183353
2026-04-22T20:30:00+08:00,4753.05,4754.42,4742.6,4744.26,4758.291749999964,4770.498073107476,4746.085426892452,4758.291749999964,4770.498073107476,4746.085426892452,4748.8411530916765
2026-04-22T21:00:00+08:00,4744.14,4750.79,4736.02,4749.63,4757.6247499999645,4770.188298295173,4745.061201704756,4757.6247499999645,4770.188298295173,4745.061201704756,4749.235576545838
2026-04-22T21:30:00+08:00,4750.02,4761.12,4741.63,4753,4757.416749999964,4770.140906309679,4744.692593690249,4757.416749999964,4770.140906309679,4744.692593690249,4751.117788272919
2026-04-22T22:00:00+08:00,4752.735,4757.51,4741.96,4743.82,4756.812299999963,4770.846628438368,4742.777971561559,4756.812299999963,4770.846628438368,4742.777971561559,4747.468894136459
2026-04-22T22:30:00+08:00,4743.906,4744.68,4729.78,4735.893,4755.8852999999635,4772.615998356558,4739.1546016433695,4755.8852999999635,4772.615998356558,4739.1546016433695,4741.680947068229
